,name,time,calorie,url
0,夏野菜のスパイシーキーマカレー,約25分,268kcal,https://housefoods.jp/recipe/special/natsuyasaicurry/rcp_00016181.html
1,野菜たっぷりキーマカレー,約25分,267kcal,https://housefoods.jp/recipe/special/natsuyasaicurry/rcp_00015396.html
2,牛肉と夏野菜のカレー,約40分,381kcal,https://housefoods.jp/recipe/special/natsuyasaicurry/rcp_00011827.html
3,エビと夏野菜のカレー,約30分,220kcal,https://housefoods.jp/recipe/special/natsuyasaicurry/rcp_00011951.html
4,夏野菜とやわらか卵のオムカレー,約50分,455kcal,https://housefoods.jp/recipe/special/natsuyasaicurry/rcp_00015258.html
5,夏野菜のチキンカレー,約40分,207kcal,https://housefoods.jp/recipe/special/natsuyasaicurry/rcp_00013080.html
6,夏野菜のカレー,約30分,265kcal,https://housefoods.jp/recipe/special/natsuyasaicurry/rcp_00014400.html
7,和の素材を楽しむ　夏野菜カレー,約40分,200kcal,https://housefoods.jp/recipe/special/natsuyasaicurry/rcp_00001107.html
8,夏野菜のキーマカレー,約30分,208kcal,https://housefoods.jp/recipe/special/natsuyasaicurry/rcp_00009222.html
9,ゴーヤと豚バラ肉のカレー,約30分,437kcal,https://housefoods.jp/recipe/special/natsuyasaicurry/rcp_00002610.html
10,夏野菜カレー,約30分,329kcal,https://housefoods.jp/recipe/special/natsuyasaicurry/rcp_00010115.html
